date,x,y,blue,green,red,nir,target
2024-01-01,0,0,2139,792,519,8988,0.0
2024-01-01,1,0,1238,4953,3446,677,0.0
2024-01-01,2,0,8868,4621,1064,6878,0.0
2024-01-01,3,0,8188,7984,1973,4747,0.0
2024-01-01,4,0,6303,8484,7247,9789,0.0
2024-01-01,5,0,4825,2880,7241,2373,0.0
2024-01-01,6,0,6216,7974,1282,2823,0.0
2024-01-01,7,0,8475,6870,6156,1937,0.0
2024-01-01,8,0,6807,3643,8781,7684,0.0
2024-01-01,9,0,2892,6037,6708,1725,0.0
2024-01-01,10,0,4883,923,684,2706,0.0
2024-01-01,11,0,6721,4853,2574,6399,0.0
2024-01-01,12,0,1314,7123,8199,9430,0.0
2024-01-01,13,0,621,7231,4316,4071,0.0
2024-01-01,14,0,9519,2525,8708,2364,0.0
2024-01-01,15,0,631,7523,3054,1774,0.0
2024-01-01,16,0,4352,6277,1034,1016,0.0
2024-01-01,17,0,6702,2249,5565,5801,0.0
2024-01-01,18,0,6348,4159,1240,4447,0.0
2024-01-01,19,0,521,3222,5261,3613,0.0
2024-01-01,20,0,4547,2923,1355,892,0.0
2024-01-01,21,0,8068,3200,9451,5762,0.0
2024-01-01,22,0,4231,4022,48,8717,0.0
2024-01-01,23,0,7601,7259,2506,9743,0.0
2024-01-01,24,0,7843,1127,8847,636,0.0
2024-01-01,25,0,8835,3657,4222,5106,0.0
2024-01-01,26,0,8074,2383,2661,8260,0.0
2024-01-01,27,0,8046,3507,4597,5865,0.0
2024-01-01,28,0,7783,9073,1495,7284,0.0
2024-01-01,29,0,5942,1401,7951,9906,0.0
2024-01-01,30,0,1861,4712,8545,3166,0.0
2024-01-01,31,0,3976,8724,9678,3914,0.0
2024-01-01,32,0,1735,2787,9467,593,0.0
2024-01-01,33,0,1417,6509,2185,3322,0.0
2024-01-01,34,0,8284,1478,3154,6796,0.0
2024-01-01,35,0,3616,325,7258,6589,0.0
2024-01-01,36,0,2619,7266,6995,7761,0.0
2024-01-01,37,0,5050,5767,5390,6976,0.0
2024-01-01,38,0,643,4259,6678,3791,0.0
2024-01-01,39,0,7454,1333,8926,3229,0.0
2024-01-01,40,0,8965,7010,9831,5182,0.0
2024-01-01,41,0,1215,1749,6954,1842,0.0
2024-01-01,42,0,3638,7037,9372,6006,0.0
2024-01-01,43,0,6400,5068,7978,1363,0.0
2024-01-01,44,0,6447,1090,2578,3158,0.0
2024-01-01,45,0,8398,7507,2325,5469,0.0
2024-01-01,46,0,8362,9583,5326,5689,0.0
2024-01-01,47,0,8872,1580,2499,1542,0.0
2024-01-01,48,0,7642,9498,3368,5599,0.0
2024-01-01,49,0,869,2413,2706,958,0.0
2024-01-01,50,0,7725,1601,1708,5061,0.0
2024-01-01,51,0,2086,5889,9659,1716,0.0
2024-01-01,52,0,1074,7354,8864,5488,0.0
2024-01-01,53,0,8112,1229,6278,6949,0.0
2024-01-01,54,0,2794,8535,2232,7930,0.0
2024-01-01,55,0,4678,610,3678,9878,0.0
2024-01-01,56,0,7221,8432,7757,8743,0.0
2024-01-01,57,0,9262,952,7812,2310,0.0
2024-01-01,58,0,4335,5163,5806,1940,0.0
2024-01-01,59,0,7789,8384,6129,597,0.0
2024-01-01,60,0,228,7717,3294,264,0.0
2024-01-01,61,0,6161,763,9086,7215,0.0
2024-01-01,62,0,8177,9224,5534,1345,0.0
2024-01-01,63,0,7644,4012,6788,7294,0.0
2024-01-01,64,0,5424,4534,2853,128,0.0
2024-01-01,65,0,4683,3216,9972,552,0.0
2024-01-01,66,0,4372,2973,8636,7560,0.0
2024-01-01,67,0,6053,3092,9353,8707,0.0
2024-01-01,68,0,2731,8198,705,5669,0.0
2024-01-01,69,0,8185,8613,9856,5809,0.0
2024-01-01,70,0,5193,7651,4916,367,0.0
2024-01-01,71,0,3192,4811,6859,7546,0.0
2024-01-01,72,0,9097,840,6379,8629,0.0
2024-01-01,73,0,2460,6212,9842,2123,0.0
2024-01-01,74,0,8158,3386,9184,9963,0.0
2024-01-01,75,0,9719,4962,936,4247,0.0
2024-01-01,76,0,1624,1225,8192,3064,0.0
2024-01-01,77,0,5178,4881,5722,2489,0.0
2024-01-01,78,0,8501,4428,9251,2895,0.0
2024-01-01,79,0,3188,198,8520,1565,0.0
2024-01-01,80,0,3684,1090,3547,6260,0.0
2024-01-01,81,0,2505,4869,4401,5084,0.0
2024-01-01,82,0,1499,4259,5471,6742,0.0
2024-01-01,83,0,2932,7806,2940,5109,0.0
2024-01-01,84,0,2150,1242,4215,8696,0.0
2024-01-01,85,0,7003,7742,1140,4147,0.0
2024-01-01,86,0,3755,8161,3913,7693,0.0
2024-01-01,87,0,1330,3434,5531,9916,0.0
2024-01-01,88,0,6905,5742,1272,730,0.0
2024-01-01,89,0,2478,2387,6865,4492,0.0
2024-01-01,90,0,4915,8313,9487,6618,0.0
2024-01-01,91,0,9622,4358,6911,8805,0.0
2024-01-01,92,0,138,7267,1816,6333,0.0
2024-01-01,93,0,2259,1842,2149,8611,0.0
2024-01-01,94,0,3597,7155,7892,2857,0.0
2024-01-01,95,0,1455,7181,8772,5461,0.0
2024-01-01,96,0,9198,2806,912,9965,0.0
2024-01-01,97,0,6303,8493,5779,3607,0.0
2024-01-01,98,0,922,8496,8974,2672,0.0
2024-01-01,99,0,9628,161,945,3280,0.0
2024-01-01,0,1,1301,7310,5267,4277,0.0
2024-01-01,1,1,3900,2920,3117,3666,0.0
2024-01-01,2,1,544,455,6747,4737,0.0
2024-01-01,3,1,1439,8805,6683,6060,0.0
2024-01-01,4,1,1103,637,7656,4092,0.0
2024-01-01,5,1,971,999,8021,3778,0.0
2024-01-01,6,1,4517,1815,2260,2171,0.0
2024-01-01,7,1,9936,9533,6349,5985,0.0
2024-01-01,8,1,4408,6020,1092,7741,0.0
2024-01-01,9,1,2709,7697,2128,7986,0.0
2024-01-01,10,1,8696,6456,2800,6134,0.0
2024-01-01,11,1,5888,2748,1194,2979,0.0
2024-01-01,12,1,7117,4975,8774,320,0.0
2024-01-01,13,1,6978,6841,9889,4234,0.0
2024-01-01,14,1,1331,6491,7571,6434,0.0
2024-01-01,15,1,9957,1902,6471,8587,0.0
2024-01-01,16,1,5545,5107,5399,8801,0.0
2024-01-01,17,1,1710,299,6235,619,0.0
2024-01-01,18,1,4819,3511,290,9481,0.0
2024-01-01,19,1,5460,273,1509,1474,0.0
2024-01-01,20,1,9278,7664,6144,1472,0.0
2024-01-01,21,1,4070,4080,7689,5406,0.0
2024-01-01,22,1,9328,38,4613,4331,0.0
