class_id,band_1,band_2,band_3,band_4,ndvi,ndwi
0,2284,2352,2450,2556,0.0212,-0.0416
0,1794,1889,2220,2520,0.0633,-0.1431
0,2274,2478,2618,2566,-0.01,-0.0174
0,1938,2260,2480,2692,0.041,-0.0872
0,1980,2024,2156,2726,0.1168,-0.1478
0,2170,2346,2470,3336,0.1492,-0.1742
0,2534,2892,2924,3610,0.105,-0.1104
0,2384,2612,2626,3340,0.1197,-0.1223
0,2366,2672,3260,4140,0.1189,-0.2155
0,2010,2238,2522,3308,0.1348,-0.1929
0,2362,2458,2602,2882,0.0511,-0.0794
0,2160,2332,2958,3226,0.0433,-0.1608
0,2238,2496,2760,2910,0.0265,-0.0766
0,2830,3042,3176,3276,0.0155,-0.037
0,2706,2890,3042,3170,0.0206,-0.0462
0,2024,2282,2970,3452,0.0751,-0.204
0,3720,3780,3846,3866,0.0026,-0.0112
0,2104,2498,2722,2954,0.0409,-0.0836
0,2594,2720,2948,3556,0.0935,-0.1332
0,2302,2406,2520,2906,0.0711,-0.0941
0,1913,2220,2726,3474,0.1206,-0.2202
0,2236,2260,2406,2504,0.02,-0.0512
0,2194,2478,2736,3198,0.0779,-0.1268
0,3294,3282,3564,4086,0.0682,-0.1091
0,2320,2632,3182,4116,0.128,-0.2199
0,1797,2098,2190,2866,0.1337,-0.1547
0,2730,2816,3066,3162,0.0154,-0.0579
0,1753,2010,2572,2934,0.0657,-0.1869
0,2528,2662,2838,3454,0.0979,-0.1295
0,1788,2064,2288,2810,0.1024,-0.1531
0,1806,2112,2186,2858,0.1332,-0.1501
0,2514,2800,3478,4276,0.1029,-0.2086
0,1905,2134,2396,2692,0.0582,-0.1156
0,1486,1611,1786,2332,0.1326,-0.1829
0,2390,2612,3012,3698,0.1022,-0.1721
0,2882,2934,3134,3250,0.0182,-0.0511
0,2236,2354,2504,3286,0.1351,-0.1652
0,3402,4636,4928,5248,0.0314,-0.0619
0,2818,3294,3472,3658,0.0261,-0.0524
